Starting a file (upload.txt) upload...
Received ack(976) from the server.
Received ack(977) from the server.
Received ack(978) from the server.
Received ack(979) from the server.
Received ack(980) from the server.
Received ack(981) from the server.
Received ack(982) from the server.
Received ack(983) from the server.
Received ack(984) from the server.
Received ack(985) from the server.
Received ack(986) from the server.
Received ack(987) from the server.
Received ack(988) from the server.
Received ack(989) from the server.
Received ack(990) from the server.
Received ack(991) from the server.
Received ack(992) from the server.
Received ack(993) from the server.
Received ack(994) from the server.
Received ack(995) from the server.
Received ack(996) from the server.
Received ack(997) from the server.
Received ack(998) from the server.
Received ack(999) from the server.
Received ack(1000) from the server.
Received ack(1001) from the server.
Received ack(1002) from the server.
Received ack(1003) from the server.
Received ack(1004) from the server.
Received ack(1005) from the server.
Received ack(1006) from the server.
Received ack(1007) from the server.
Received ack(1008) from the server.
Received ack(1009) from the server.
Received ack(1010) from the server.
Received ack(1011) from the server.
Received ack(1012) from the server.
Received ack(1013) from the server.
Received ack(1014) from the server.
Received ack(1015) from the server.
Received ack(1016) from the server.
Received ack(1017) from the server.
Received ack(1018) from the server.
Received ack(1019) from the server.
Received ack(1020) from the server.
Received ack(1021) from the server.
Received ack(1022) from the server.
Received ack(1023) from the server.
Received ack(1024) from the server.
Received ack(1025) from the server.
Received ack(1026) from the server.
Received ack(1027) from the server.
Received ack(1028) from the server.
Received ack(1029) from the server.
Received ack(1030) from the server.
Received ack(1031) from the server.
Received ack(1032) from the server.
Received ack(1033) from the server.
Received ack(1034) from the server.
Received ack(1035) from the server.
Received ack(1036) from the server.
Received ack(1037) from the server.
Received ack(1038) from the server.
Received ack(1039) from the server.
Received ack(1040) from the server.
Received ack(1041) from the server.
Received ack(1042) from the server.
Received ack(1043) from the server.
Received ack(1044) from the server.
Received ack(1045) from the server.
Received ack(1046) from the server.
Received ack(1047) from the server.
Received ack(1048) from the server.
Received ack(1049) from the server.
Received ack(1050) from the server.
Received ack(1051) from the server.
Received ack(1052) from the server.
Received ack(1053) from the server.
Received ack(1054) from the server.
Received ack(1055) from the server.
Received ack(1056) from the server.
Received ack(1057) from the server.
Received ack(1058) from the server.
Received ack(1059) from the server.
Received ack(1060) from the server.
Received ack(1061) from the server.
Received ack(1062) from the server.
Received ack(1063) from the server.
Received ack(1064) from the server.
Received ack(1065) from the server.
Received ack(1066) from the server.
Received ack(1067) from the server.
Received ack(1068) from the server.
Received ack(1069) from the server.
Received ack(1070) from the server.
Received ack(1071) from the server.
Received ack(1072) from the server.
Received ack(1073) from the server.
Received ack(1074) from the server.
Received ack(1075) from the server.
Received ack(1076) from the server.
Received ack(1077) from the server.
Received ack(1078) from the server.
Received ack(1079) from the server.
Received ack(1080) from the server.
Received ack(1081) from the server.
